time iter num.topics num.tables likelihood gamma alpha split merge trial
    0.00 00209 0002 00032 -1260.19090 1.00000 1.00000 0 0 0
    0.00 00210 0003 00035 -1279.63268 1.00000 1.00000 0 0 0
    0.00 00211 0003 00043 -1376.61468 1.00000 1.00000 0 0 0
    0.00 00212 0004 00043 -1322.18142 1.00000 1.00000 0 0 0
    0.00 00213 0002 00038 -1277.38340 1.00000 1.00000 0 0 0
    0.00 00214 0003 00036 -1319.31451 1.00000 1.00000 0 0 0
    0.00 00215 0002 00039 -1418.73705 1.00000 1.00000 0 0 0
    0.00 00216 0002 00038 -1397.43009 1.00000 1.00000 0 0 0
    0.00 00217 0002 00040 -1401.60232 1.00000 1.00000 0 0 0
    0.00 00218 0003 00044 -1456.95916 1.00000 1.00000 0 0 0
    0.00 00219 0002 00042 -1415.64593 1.00000 1.00000 0 0 0
    0.00 00220 0002 00045 -1409.83234 1.00000 1.00000 0 0 0
    0.00 00221 0002 00049 -1549.33965 1.00000 1.00000 0 0 0
    0.00 00222 0003 00048 -1636.68154 1.00000 1.00000 0 0 0
    0.00 00223 0002 00049 -1630.75590 1.00000 1.00000 0 0 0
    0.00 00224 0002 00044 -1555.17022 1.00000 1.00000 0 0 0
    0.00 00225 0002 00037 -1456.93645 1.00000 1.00000 0 0 0
    0.00 00226 0003 00040 -1523.00097 1.00000 1.00000 0 0 0
    0.00 00227 0002 00044 -1566.80617 1.00000 1.00000 0 0 0
    0.00 00228 0002 00041 -1534.10050 1.00000 1.00000 0 0 0
    0.00 00229 0003 00041 -1542.19787 1.00000 1.00000 0 0 0
    0.00 00230 0002 00041 -1496.56947 1.00000 1.00000 0 0 0
    0.00 00231 0002 00043 -1438.24478 1.00000 1.00000 0 0 0
    0.00 00232 0002 00042 -1424.96310 1.00000 1.00000 0 0 0
    0.00 00233 0002 00036 -1386.12056 1.00000 1.00000 0 0 0
    0.00 00234 0002 00034 -1393.32635 1.00000 1.00000 0 0 0
    0.00 00235 0002 00041 -1535.37369 1.00000 1.00000 0 0 0
    0.00 00236 0003 00037 -1487.09676 1.00000 1.00000 0 0 0
    0.00 00237 0002 00037 -1565.36813 1.00000 1.00000 0 0 0
    0.00 00238 0002 00039 -1607.49520 1.00000 1.00000 0 0 0
    0.00 00239 0003 00042 -1639.15428 1.00000 1.00000 0 0 0
    0.00 00240 0004 00042 -1590.40403 1.00000 1.00000 0 0 0
    0.00 00241 0003 00042 -1561.84961 1.00000 1.00000 0 0 0
    0.00 00242 0004 00041 -1520.08908 1.00000 1.00000 0 0 0
    0.00 00243 0003 00041 -1568.78903 1.00000 1.00000 0 0 0
    0.00 00244 0002 00045 -1644.41755 1.00000 1.00000 0 0 0
    0.00 00245 0002 00046 -1686.70098 1.00000 1.00000 0 0 0
    0.00 00246 0002 00048 -1762.92047 1.00000 1.00000 0 0 0
    0.00 00247 0002 00053 -1762.66444 1.00000 1.00000 0 0 0
    0.00 00248 0002 00055 -1721.36146 1.00000 1.00000 0 0 0
    0.00 00249 0003 00049 -1752.12360 1.00000 1.00000 0 0 0
    0.00 00250 0003 00051 -1713.94591 1.00000 1.00000 0 0 0
    0.00 00251 0004 00048 -1672.11517 1.00000 1.00000 0 0 0
    0.00 00252 0003 00050 -1743.18267 1.00000 1.00000 0 0 0
    0.00 00253 0002 00053 -1673.61539 1.00000 1.00000 0 0 0
    0.00 00254 0003 00048 -1662.32480 1.00000 1.00000 0 0 0
    0.00 00255 0002 00052 -1675.80699 1.00000 1.00000 0 0 0
    0.00 00256 0002 00055 -1694.61199 1.00000 1.00000 0 0 0
    0.00 00257 0003 00051 -1642.76400 1.00000 1.00000 0 0 0
    0.00 00258 0002 00046 -1596.52641 1.00000 1.00000 0 0 0
    0.00 00259 0002 00048 -1621.42403 1.00000 1.00000 0 0 0
    0.00 00260 0002 00054 -1665.24962 1.00000 1.00000 0 0 0
    0.00 00261 0002 00043 -1572.86313 1.00000 1.00000 0 0 0
    0.00 00262 0002 00044 -1543.93583 1.00000 1.00000 0 0 0
    0.00 00263 0003 00047 -1634.61497 1.00000 1.00000 0 0 0
    0.00 00264 0002 00037 -1560.25852 1.00000 1.00000 0 0 0
    0.00 00265 0002 00035 -1572.62100 1.00000 1.00000 0 0 0
    0.00 00266 0002 00042 -1633.94180 1.00000 1.00000 0 0 0
    0.00 00267 0002 00042 -1610.53210 1.00000 1.00000 0 0 0
    0.00 00268 0002 00038 -1522.86457 1.00000 1.00000 0 0 0
    0.00 00269 0002 00036 -1515.99869 1.00000 1.00000 0 0 0
    0.00 00270 0003 00042 -1505.05889 1.00000 1.00000 0 0 0
    0.00 00271 0003 00042 -1545.94819 1.00000 1.00000 0 0 0
    0.00 00272 0003 00038 -1506.63096 1.00000 1.00000 0 0 0
    0.00 00273 0003 00043 -1416.37423 1.00000 1.00000 0 0 0
    0.00 00274 0002 00045 -1432.82582 1.00000 1.00000 0 0 0
    0.00 00275 0002 00041 -1414.83124 1.00000 1.00000 0 0 0
    0.00 00276 0002 00045 -1406.22625 1.00000 1.00000 0 0 0
    0.00 00277 0002 00035 -1308.53917 1.00000 1.00000 0 0 0
    0.00 00278 0002 00038 -1316.10833 1.00000 1.00000 0 0 0
    0.00 00279 0002 00042 -1368.27230 1.00000 1.00000 0 0 0
    0.00 00280 0003 00038 -1344.16493 1.00000 1.00000 0 0 0
    0.00 00281 0003 00036 -1372.03519 1.00000 1.00000 0 0 0
    0.00 00282 0003 00041 -1438.43645 1.00000 1.00000 0 0 0
    0.00 00283 0003 00043 -1464.40193 1.00000 1.00000 0 0 0
    0.00 00284 0003 00034 -1418.50184 1.00000 1.00000 0 0 0
    0.00 00285 0004 00040 -1313.16114 1.00000 1.00000 0 0 0
    0.00 00286 0004 00034 -1300.22883 1.00000 1.00000 0 0 0
    0.00 00287 0002 00032 -1291.26628 1.00000 1.00000 0 0 0
    0.00 00288 0002 00036 -1318.56606 1.00000 1.00000 0 0 0
    0.00 00289 0002 00033 -1264.96619 1.00000 1.00000 0 0 0
    0.00 00290 0003 00034 -1290.30210 1.00000 1.00000 0 0 0
    0.00 00291 0003 00036 -1273.41824 1.00000 1.00000 0 0 0
    0.00 00292 0002 00033 -1252.53644 1.00000 1.00000 0 0 0
    0.00 00293 0002 00039 -1356.32748 1.00000 1.00000 0 0 0
    0.00 00294 0003 00036 -1270.04752 1.00000 1.00000 0 0 0
    0.00 00295 0002 00034 -1284.55998 1.00000 1.00000 0 0 0
    0.00 00296 0002 00036 -1359.73075 1.00000 1.00000 0 0 0
    0.00 00297 0002 00039 -1401.19922 1.00000 1.00000 0 0 0
    0.00 00298 0002 00037 -1348.54361 1.00000 1.00000 0 0 0
    0.00 00299 0002 00033 -1295.92561 1.00000 1.00000 0 0 0
    0.00 00300 0002 00035 -1285.84785 1.00000 1.00000 0 0 0
    0.00 00301 0002 00040 -1353.80386 1.00000 1.00000 0 0 0
    0.00 00302 0003 00037 -1332.61499 1.00000 1.00000 0 0 0
    0.00 00303 0003 00032 -1269.39821 1.00000 1.00000 0 0 0
    0.00 00304 0003 00036 -1287.97741 1.00000 1.00000 0 0 0
    0.00 00305 0002 00036 -1315.37540 1.00000 1.00000 0 0 0
    0.00 00306 0002 00037 -1277.77555 1.00000 1.00000 0 0 0
    0.00 00307 0002 00036 -1340.96370 1.00000 1.00000 0 0 0
    0.00 00308 0002 00034 -1328.93708 1.00000 1.00000 0 0 0
    0.00 00309 0003 00039 -1340.40894 1.00000 1.00000 0 0 0
    0.00 00310 0002 00036 -1312.94994 1.00000 1.00000 0 0 0
    0.00 00311 0002 00039 -1352.18003 1.00000 1.00000 0 0 0
    0.00 00312 0002 00038 -1325.47665 1.00000 1.00000 0 0 0
    0.00 00313 0002 00041 -1283.54484 1.00000 1.00000 0 0 0
    0.00 00314 0002 00038 -1223.15250 1.00000 1.00000 0 0 0
    0.00 00315 0002 00033 -1179.00335 1.00000 1.00000 0 0 0
    0.00 00316 0002 00034 -1149.29405 1.00000 1.00000 0 0 0
    0.00 00317 0002 00036 -1191.71954 1.00000 1.00000 0 0 0
    0.00 00318 0002 00035 -1245.86547 1.00000 1.00000 0 0 0
    0.00 00319 0003 00041 -1251.79005 1.00000 1.00000 0 0 0
    0.00 00320 0003 00041 -1290.54990 1.00000 1.00000 0 0 0
    0.00 00321 0003 00040 -1264.97191 1.00000 1.00000 0 0 0
    0.00 00322 0002 00040 -1267.02957 1.00000 1.00000 0 0 0
    0.00 00323 0003 00037 -1312.25250 1.00000 1.00000 0 0 0
    0.00 00324 0004 00041 -1322.91596 1.00000 1.00000 0 0 0
    0.00 00325 0002 00036 -1271.71766 1.00000 1.00000 0 0 0
    0.00 00326 0002 00033 -1304.57549 1.00000 1.00000 0 0 0
    0.00 00327 0002 00036 -1322.50122 1.00000 1.00000 0 0 0
    0.00 00328 0002 00038 -1345.43206 1.00000 1.00000 0 0 0
    0.00 00329 0002 00038 -1400.42380 1.00000 1.00000 0 0 0
    0.00 00330 0004 00044 -1457.69473 1.00000 1.00000 0 0 0
    0.00 00331 0002 00043 -1399.72002 1.00000 1.00000 0 0 0
    0.00 00332 0003 00040 -1295.63263 1.00000 1.00000 0 0 0
    0.00 00333 0002 00036 -1301.09527 1.00000 1.00000 0 0 0
    0.00 00334 0002 00048 -1415.14714 1.00000 1.00000 0 0 0
    0.00 00335 0003 00046 -1461.68884 1.00000 1.00000 0 0 0
    0.00 00336 0003 00043 -1380.06060 1.00000 1.00000 0 0 0
    0.00 00337 0002 00042 -1367.74371 1.00000 1.00000 0 0 0
    0.00 00338 0002 00041 -1366.68659 1.00000 1.00000 0 0 0
    0.00 00339 0002 00042 -1368.56082 1.00000 1.00000 0 0 0
    0.00 00340 0003 00039 -1339.05629 1.00000 1.00000 0 0 0
    0.00 00341 0002 00038 -1281.67198 1.00000 1.00000 0 0 0
    0.00 00342 0002 00039 -1218.08804 1.00000 1.00000 0 0 0
    0.00 00343 0002 00041 -1293.60573 1.00000 1.00000 0 0 0
    0.00 00344 0002 00043 -1371.41319 1.00000 1.00000 0 0 0
    0.00 00345 0002 00045 -1474.01332 1.00000 1.00000 0 0 0
    0.00 00346 0002 00048 -1507.66709 1.00000 1.00000 0 0 0
    0.00 00347 0002 00043 -1445.14744 1.00000 1.00000 0 0 0
    0.00 00348 0002 00043 -1414.76573 1.00000 1.00000 0 0 0
    0.00 00349 0002 00039 -1362.54522 1.00000 1.00000 0 0 0
    0.00 00350 0002 00035 -1309.75740 1.00000 1.00000 0 0 0
    0.00 00351 0002 00033 -1312.78037 1.00000 1.00000 0 0 0
    0.00 00352 0002 00036 -1292.02433 1.00000 1.00000 0 0 0
    0.00 00353 0002 00037 -1371.72587 1.00000 1.00000 0 0 0
    0.00 00354 0003 00041 -1450.28479 1.00000 1.00000 0 0 0
    0.00 00355 0003 00041 -1409.05350 1.00000 1.00000 0 0 0
    0.00 00356 0002 00033 -1315.99756 1.00000 1.00000 0 0 0
    0.00 00357 0002 00037 -1314.13547 1.00000 1.00000 0 0 0
    0.00 00358 0002 00041 -1372.37324 1.00000 1.00000 0 0 0
    0.00 00359 0004 00042 -1430.03454 1.00000 1.00000 0 0 0
    0.00 00360 0002 00037 -1377.75170 1.00000 1.00000 0 0 0
    0.00 00361 0002 00043 -1437.54855 1.00000 1.00000 0 0 0
    0.00 00362 0002 00041 -1425.84317 1.00000 1.00000 0 0 0
    0.00 00363 0002 00043 -1378.83548 1.00000 1.00000 0 0 0
    0.00 00364 0002 00040 -1342.24622 1.00000 1.00000 0 0 0
    0.00 00365 0002 00038 -1424.02017 1.00000 1.00000 0 0 0
    0.00 00366 0002 00040 -1411.47889 1.00000 1.00000 0 0 0
    0.00 00367 0002 00043 -1500.63273 1.00000 1.00000 0 0 0
    0.00 00368 0003 00043 -1447.38028 1.00000 1.00000 0 0 0
    0.00 00369 0002 00047 -1408.59874 1.00000 1.00000 0 0 0
    0.00 00370 0003 00039 -1307.16687 1.00000 1.00000 0 0 0
    0.00 00371 0003 00039 -1324.27154 1.00000 1.00000 0 0 0
    0.00 00372 0002 00039 -1395.26192 1.00000 1.00000 0 0 0
    0.00 00373 0002 00040 -1395.00865 1.00000 1.00000 0 0 0
    0.00 00374 0002 00043 -1439.72328 1.00000 1.00000 0 0 0
