"","b","X","N"
"b260",-0.655330852838511,17,849
"b261",-0.651912913181623,18,849
"b262",-0.648480584722211,19,849
"b263",-0.645304211402884,20,849
"b264",-0.642039092307231,21,849
"b265",-0.638988428911195,22,849
"b266",-0.63600482852357,23,849
"b267",-0.632947261816003,24,849
"b268",-0.630054679656429,25,849
"b269",-0.627169927066204,26,849
"b270",-0.624250622013292,27,849
"b271",-0.621601579883345,28,849
"b272",-0.619214954070217,29,849
"b273",-0.616792200952657,30,849
"b274",-0.614387529125122,31,849
"b275",-0.611893623608611,32,849
"b276",-0.609464571898031,33,849
"b277",-0.607011486735131,34,849
"b278",-0.60467251718123,35,849
"b279",-0.602314997841612,36,849
"b280",-0.599992146517804,37,849
"b281",-0.597767605611396,38,849
"b282",-0.595640851845902,39,849
"b283",-0.593502969855825,40,849
"b284",-0.591366043730581,41,849
"b285",-0.589215818164869,42,849
"b286",-0.587128172124111,43,849
"b287",-0.585007331343751,44,849
"b288",-0.582948342787311,45,849
"b289",-0.580872467456273,46,849
"b290",-0.578706230367465,47,849
"b291",-0.576467090850998,48,849
"b292",-0.574442186826933,49,849
"b293",-0.572366758738059,50,849
"b294",-0.753072754364007,2,1062
"b295",-0.738183340332566,3,1062
"b296",-0.728327173202881,4,1062
"b297",-0.720893552882931,5,1062
"b298",-0.713731402818043,6,1062
"b299",-0.707531864279204,7,1062
"b300",-0.702764845225217,8,1062
"b301",-0.698869715679947,9,1062
"b302",-0.695385202904838,10,1062
"b303",-0.692166877312431,11,1062
"b304",-0.689086404572066,12,1062
"b305",-0.68592011147782,13,1062
"b306",-0.683008653694931,14,1062
"b307",-0.680180174043093,15,1062
"b308",-0.677435814247507,16,1062
"b309",-0.674635950504732,17,1062
"b310",-0.671948903172617,18,1062
"b311",-0.669472112882601,19,1062
"b312",-0.666911711974875,20,1062
"b313",-0.664345078664834,21,1062
"b314",-0.661943658545769,22,1062
"b315",-0.659482805884606,23,1062
"b316",-0.656974159330155,24,1062
"b317",-0.654507980009437,25,1062
"b318",-0.65218077160003,26,1062
"b319",-0.649788356996551,27,1062
"b320",-0.647442335701208,28,1062
"b321",-0.645041015785453,29,1062
"b322",-0.642716424079626,30,1062
"b323",-0.640380126839183,31,1062
"b324",-0.638039958258951,32,1062
"b325",-0.635752264769712,33,1062
"b326",-0.633482077421931,34,1062
"b327",-0.63119829171314,35,1062
"b328",-0.628988821121509,36,1062
"b329",-0.626709945495533,37,1062
"b330",-0.624416072871738,38,1062
"b331",-0.622219591854344,39,1062
"b332",-0.620093233148513,40,1062
"b333",-0.617979491217988,41,1062
"b334",-0.61590310136359,42,1062
"b335",-0.613825087433694,43,1062
"b336",-0.611738950671749,44,1062
"b337",-0.609796045259828,45,1062
"b338",-0.607812406215071,46,1062
"b339",-0.605739166838012,47,1062
"b340",-0.603659433102099,48,1062
"b341",-0.601439393829705,49,1062
"b342",-0.599290173295953,50,1062
"b343",-0.766206447148683,2,886
"b344",-0.756666042491609,3,886
"b345",-0.749031345963758,4,886
"b346",-0.741975783513807,5,886
"b347",-0.736480662427587,6,886
"b348",-0.730563553097665,7,886
"b349",-0.724852937430727,8,886
"b350",-0.719261489394784,9,886
"b351",-0.714069920633228,10,886
"b352",-0.70957400994887,11,886
"b353",-0.705183051630074,12,886
"b354",-0.700985311789939,13,886
