"dt_partition","time_frame","dataset_name","X","N","rmse_flex_model_simple","rmse_constraint_model_simple","rmse_flex_model_complex","rmse_constraint_model_complex","rmse_tailored_flex_lm","rmse_tailored_constr_lm"
"monthly","2013-3-","dba",27,785,0.401214789840081,0.0319882327451622,0.401107468593009,0.0312440274387147,0.0245355448404532,0.030939767092672
"monthly","2013-3-","dba",28,785,0.408400336164142,0.0319826128964242,0.408520087215133,0.0313149100065202,0.0244892701235294,0.031024484921015
"monthly","2013-3-","dba",29,785,0.415477798276741,0.0319345830053762,0.415829266367131,0.0313418058157087,0.024202528190196,0.0310608413160285
"monthly","2013-3-","dba",30,785,0.422419173643805,0.0318674970298666,0.423006811467887,0.0313489382057334,0.0238090993509001,0.03107454087231
"monthly","2013-3-","dba",31,785,0.429174458829968,0.0317857105402454,0.4300026014675,0.0313385279665522,0.0234880660745064,0.0310651485207978
"monthly","2013-3-","dba",32,785,0.435679537276868,0.0316509753348558,0.436752357096536,0.0312769673553706,0.0232282888017894,0.0310075800781207
"monthly","2013-3-","dba",33,785,0.442068301368624,0.0315672837602353,0.44338979343476,0.0312653630250769,0.0229889581821989,0.0309985775478981
"monthly","2013-3-","dba",34,785,0.448324508726801,0.0314928999693003,0.449898596635838,0.031261081814289,0.0227410307130531,0.0309956792699038
"monthly","2013-3-","dba",35,785,0.454372022775655,0.0314075448549014,0.456202605198687,0.0312434721616181,0.0226319480979681,0.0309790896895013
"monthly","2013-3-","dba",36,785,0.460307109345832,0.0313090867616246,0.462397991609052,0.0312097576623906,0.022420741352001,0.0309460010393978
"monthly","2013-3-","dba",37,785,0.466083809968076,0.0311830027556095,0.46843877157396,0.031145185098576,0.0221387148615195,0.0308865919068694
"monthly","2013-3-","dba",38,785,0.47176081758567,0.0311044322103082,0.474383594647913,0.0311228669034849,0.0218269670711746,0.0308725174216372
"monthly","2013-3-","dba",39,785,0.477246694139029,0.0309795812531919,0.480141104486798,0.0310479911158652,0.0216056190043518,0.0308040797444434
"monthly","2013-3-","dba",40,785,0.482615562088889,0.0308050143891297,0.485785417248733,0.0309176665487958,0.0213259722494354,0.0306765425498203
"monthly","2013-3-","dba",41,785,0.487818254196113,0.0306659131805947,0.491267357321367,0.0308168001940352,0.0212693045979823,0.0305770776042691
"monthly","2013-3-","dba",42,785,0.492922571326754,0.0304836818478835,0.496654740821309,0.030665082602229,0.0210264570171806,0.030428884301786
"monthly","2013-3-","dba",43,785,0.497899643081838,0.0302770739761852,0.501918742858878,0.0304813031255404,0.0207686258814387,0.0302485836459487
"monthly","2013-3-","dba",44,785,0.502739386022883,0.0300252077828213,0.507049311038764,0.0302406811627721,0.0204054010830075,0.030015703141094
"monthly","2013-3-","dba",45,785,0.507426388237918,0.0297874425664454,0.512031071637215,0.0300044316196114,0.0201844209470575,0.0297868009109585
"monthly","2013-3-","dba",46,785,0.512111555738184,0.029643229548048,0.517014933516608,0.02985761421562,0.0199719447191944,0.0296415459051845
"monthly","2013-3-","dba",47,785,0.516712321396767,0.0294942440308397,0.521918431691099,0.0297023816934679,0.0197728733000052,0.029483511578613
"monthly","2013-3-","dba",48,785,0.521194997023543,0.0293143689079075,0.526707934005563,0.0295082553114036,0.0195566901663997,0.0292864260758558
"monthly","2013-3-","dba",49,785,0.525565703034806,0.0291247393565384,0.531389616066606,0.029300756212707,0.01941492040877,0.0290726662060899
"monthly","2013-3-","dba",50,785,0.529786841993906,0.0288878979631819,0.535925950543504,0.0290365550461882,0.0192985400665956,0.0288029233734879
